VARIABLES="X" "Y" "Vx" "Vy" 
Zone T = "single_2412_2412_ Streamlines" 
I=35, J=1, K=1 
-0.379195, -0.332621, 0.976813, -0.000788 
-0.365772, -0.332621, 0.976529, -0.001461 
-0.352349, -0.332621, 0.976264, -0.002175 
-0.338926, -0.332621, 0.976021, -0.002929 
-0.325503, -0.332621, 0.975805, -0.003725 
-0.312081, -0.332621, 0.975619, -0.004564 
-0.298658, -0.332621, 0.975469, -0.005447 
-0.285235, -0.332621, 0.975359, -0.006373 
-0.271812, -0.332621, 0.975296, -0.007343 
-0.258389, -0.332621, 0.975284, -0.008355 
-0.244966, -0.332621, 0.975331, -0.009408 
-0.231544, -0.332621, 0.975443, -0.010500 
-0.218121, -0.332621, 0.975627, -0.011628 
-0.204698, -0.332621, 0.975891, -0.012786 
-0.191275, -0.332621, 0.976240, -0.013972 
-0.177852, -0.332621, 0.976683, -0.015176 
-0.164430, -0.332621, 0.977226, -0.016393 
-0.151007, -0.332621, 0.977875, -0.017613 
-0.137584, -0.332621, 0.978636, -0.018826 
-0.124161, -0.332621, 0.979512, -0.020020 
-0.110738, -0.332621, 0.980507, -0.021182 
-0.097315, -0.332621, 0.981623, -0.022298 
-0.083893, -0.332621, 0.982858, -0.023353 
-0.070470, -0.332621, 0.984209, -0.024332 
-0.057047, -0.332621, 0.985673, -0.025221 
-0.043624, -0.332621, 0.987240, -0.026002 
-0.030201, -0.332621, 0.988902, -0.026664 
-0.016779, -0.332621, 0.990646, -0.027191 
-0.003356, -0.332621, 0.992457, -0.027573 
0.010067, -0.332621, 0.994319, -0.027801 
0.023490, -0.332621, 0.996215, -0.027867 
0.036913, -0.332621, 0.998125, -0.027768 
0.050336, -0.332621, 1.000030, -0.027503 
0.063758, -0.332621, 1.001913, -0.027072 
0.077181, -0.332621, 1.003753, -0.026481 
0.090604, -0.332621, 1.005534, -0.025736 
0.104027, -0.332621, 1.007241, -0.024847 
0.117450, -0.332621, 1.008859, -0.023823 
0.130872, -0.332621, 1.010376, -0.022679 
0.144295, -0.332621, 1.011782, -0.021426 
0.157718, -0.332621, 1.013071, -0.020080 
0.171141, -0.332621, 1.014236, -0.018654 
0.184564, -0.332621, 1.015273, -0.017163 
0.197987, -0.332621, 1.016183, -0.015621 
0.211409, -0.332621, 1.016964, -0.014040 
0.224832, -0.332621, 1.017617, -0.012433 
0.238255, -0.332621, 1.018147, -0.010812 
0.251678, -0.332621, 1.018555, -0.009186 
0.265101, -0.332621, 1.018848, -0.007566 
0.278523, -0.332621, 1.019028, -0.005960 
0.291946, -0.332621, 1.019104, -0.004375 
0.305369, -0.332621, 1.019078, -0.002817 
0.318792, -0.332621, 1.018959, -0.001292 
0.332215, -0.332621, 1.018751, 0.000195 
0.345638, -0.332621, 1.018459, 0.001640 
0.359060, -0.332621, 1.018091, 0.003041 
0.372483, -0.332621, 1.017650, 0.004394 
0.385906, -0.332621, 1.017143, 0.005698 
0.399329, -0.332621, 1.016574, 0.006950 
0.412752, -0.332621, 1.015947, 0.008150 
0.426174, -0.332621, 1.015268, 0.009295 
0.439597, -0.332621, 1.014540, 0.010386 
0.453020, -0.332621, 1.013767, 0.011422 
0.466443, -0.332621, 1.012954, 0.012402 
0.479866, -0.332621, 1.012103, 0.013327 
0.493289, -0.332621, 1.011218, 0.014195 
0.506711, -0.332621, 1.010302, 0.015007 
0.520134, -0.332621, 1.009359, 0.015764 
0.533557, -0.332621, 1.008390, 0.016464 
0.546980, -0.332621, 1.007399, 0.017108 
0.560403, -0.332621, 1.006389, 0.017697 
0.573826, -0.332621, 1.005361, 0.018230 
0.587248, -0.332621, 1.004319, 0.018708 
0.600671, -0.332621, 1.003264, 0.019131 
0.614094, -0.332621, 1.002199, 0.019499 
0.627517, -0.332621, 1.001126, 0.019812 
0.640940, -0.332621, 1.000048, 0.020072 
0.654362, -0.332621, 0.998965, 0.020277 
0.667785, -0.332621, 0.997882, 0.020428 
0.681208, -0.332621, 0.996799, 0.020525 
0.694631, -0.332621, 0.995719, 0.020570 
0.708054, -0.332621, 0.994645, 0.020560 
0.721477, -0.332621, 0.993577, 0.020498 
0.734899, -0.332621, 0.992519, 0.020384 
0.748322, -0.332621, 0.991473, 0.020217 
0.761745, -0.332621, 0.990441, 0.019998 
0.775168, -0.332621, 0.989427, 0.019728 
0.788591, -0.332621, 0.988432, 0.019407 
0.802013, -0.332621, 0.987459, 0.019036 
0.815436, -0.332621, 0.986512, 0.018616 
0.828859, -0.332621, 0.985592, 0.018147 
0.842282, -0.332621, 0.984704, 0.017633 
0.855705, -0.332621, 0.983850, 0.017073 
0.869128, -0.332621, 0.983032, 0.016470 
0.882550, -0.332621, 0.982255, 0.015826 
0.895973, -0.332621, 0.981520, 0.015144 
0.909396, -0.332621, 0.980831, 0.014427 
0.922819, -0.332621, 0.980190, 0.013677 
